Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4LJhJ6DQS7NwE7UKtvcM52,What's My Age Again?,Enema Of The State,blink-182,6/1/1999,148360,80,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"pop punk,punk,rock,skate punk,emo",Geffen,0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,4
spotify:track:72YttnPRxyHe8zCG50jYhj,NO BATIDÃO - Slowed,NO BATIDÃO,ZXKAI;slxughter,9/5/2025,107933,88,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:21Z,"phonk,brazilian phonk",ZXKAI,0.642,0.951,2,0.614,1,0.0344,0.083,0,0.179,0.538,108.128,4
spotify:track:6FUwPb4mGlUDbx42uspXaZ,Fuel,Reload,Metallica,1/1/1997,269800,75,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"metal,thrash metal,rock,heavy metal,hard rock",Blackened Recordings / Universal Music,0.49,0.951,1,-3.777,1,0.0477,0.0000202,0.0027,0.0314,0.589,106.946,4
spotify:track:53YZi9zgTnF0Py0K6ejyWz,Power,THE POWER OF MUSIC – The 4th Album ‘THE WAR’ Repackage,EXO,9/5/2017,222405,55,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,k-pop,SM Entertainment,0.657,0.943,7,-3.031,1,0.0856,0.0315,0,0.149,0.76,127.958,4
spotify:track:3Y4BqG5FGXgGFQaJzX1MQC,Party Up (Up In Here),DMX: Don't Try to Understand,DMX,11/26/2021,228400,58,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"east coast hip hop,old school hip hop,hardcore hip hop",UME - Global Clearing House,0.554,0.941,11,-2.68,1,0.331,0.065,0,0.19,0.411,100.805,4
spotify:track:4LkkRLP8pldQer1YRrHwkx,LOS VOLTAJE,LOS VOLTAJE,Sayfalse;Yb Wasg'ood;Ariis,4/11/2025,99285,80,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:51Z,"phonk,brazilian phonk,funk",PCR,0.61,0.938,0,-1.227,0,0.0972,0.00553,0.976,0.658,0.344,115.974,4
spotify:track:3c5Mnlez9S2dDIRjFHfDk0,BATIDAO FUNK,BATIDAO FUNK,ZXKAI;Rezcaze;Mc Kaique SP;KINGXND,1/26/2026,120461,77,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:20:38Z,"phonk,brazilian phonk,funk",ZXKAI,0.833,0.938,5,-0.084,0,0.0627,0.158,0.0832,0.269,0.776,129.954,4
spotify:track:4kyDzE3UwJLoT3iImSh9Tj,FUNK SIGILO - ULTRA SLOWED,FUNK SIGILO,h6itam,3/14/2025,138116,75,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:54Z,"phonk,brazilian phonk,funk",h6itam,0.729,0.935,7,-3.791,0,0.0328,0.247,0.513,0.145,0.649,144.257,4
spotify:track:7F25roCtYi55JouckaayPC,Judas,Born This Way (International Special Edition Version),Lady Gaga,5/23/2011,249066,84,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"art pop,pop",Interscope,0.664,0.934,10,-3.848,0,0.0696,0.00108,0.0000273,0.271,0.529,130.983,4
spotify:track:2DlHlPMa4M17kufBvI2lEN,Chop Suey!,Toxicity,System Of A Down,9/4/2001,210240,87,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"nu metal,metal,alternative metal,rap metal,rock",American/Columbia,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
spotify:track:3ZEUbnmVPwGRhLm28QzXkI,REVENGE - Super Slowed,REVENGE !,1HXSX;wnorg17,8/4/2025,121846,73,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:56Z,"phonk,brazilian phonk",FUNK 108,0.56,0.933,11,-2.14,0,0.0463,0.00348,0.651,0.341,0.344,122.661,4
spotify:track:7bHT9osSq1rwT2yaImzqCi,No Love,Recovery,Eminem;Lil Wayne,6/18/2010,299506,72,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"rap,hip hop",Eminem Catalog PS,0.522,0.932,11,-2.87,1,0.255,0.119,0,0.177,0.33,129.473,4
